chain,contract_address,hardcoded_manager,ever_drained_by_mgr,ever_blacklisted_by_mgr,notes
polygon,0x3722bf83ea2d35c3a7a8d7db29bb2f7d5e0b66e3,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x379a781264a0c159dc785aba0964ee4157cddb0f,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x37d4e75dfbd83180333f4bf2950669941a6c1b0f,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x37f158e727c561946c4279a4fbba30dd6970408a,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x3842b12dccf9173e8002cb8aa60d3693bb303f8a,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x38a26e6e03f1edafee76d37d5ab2ba201e5a73d5,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x38d0265c75af34f03af0c42cf1d5806208d215b3,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x38f6b3f263b74590a536d7ebeac632be469ea656,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x39df8759b5d12ff0ab7b857e281a12bfd901b979,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x3a4359567b0d4200553bb371446b7b11258aa66a,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x3a6adeaf0afbaf9dae73d66113fe0cbddcf0c4fe,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,True,True,same template family as avalanche; single-key architecture
